Date,Year,Month,Event,Event_Type,Total_Tourist_Arrivals,Domestic_Tourists,International_Tourists,Hotel_Occupancy(%),Average_Stay_Duration(days),Tourism_Revenue(INR),Cruise_Arrivals,Airport_Footfall,Temperature(C),Rainfall(mm),Flight_Delays,Monsoon_Impact_Flag,Most_Visited_Place,Agency_or_Package,Lag_1_Month,Lag_3_Month,Lag_6_Month,Moving_Average,Seasonal_Index
2023-02-26,2023,2,Onam Festival,Festival,123502,84250,39252,68.28,3.79,194362204.96,47,141703,28.86,39.24,40,0,Lulu Mall,Private Agency,121644,116257,110716,118029,0.99
2022-07-07,2022,7,Peak Season,Tourism,74507,56087,18420,86.47,1.7,211864638.49,181,85371,29.99,88.48,14,0,Lulu Mall,Private Agency,72449,69853,63024,69958,0.81
2022-12-27,2022,12,Conference,MICE,66977,45951,21026,63.27,2.59,132449721.89,110,83218,29.61,220.58,45,0,Hill Palace,Private Agency,64412,65244,85196,70457,0.84
2022-06-24,2022,6,Cruise Season,Cruise Tourism,113021,69701,43320,82.47,5.22,141263459.74,633,132707,32.95,558.97,35,1,Bolgatty Palace,Travel Group,116390,104575,119534,113380,1.17
2024-03-18,2024,3,Biennale,Arts & Cultural,63319,39085,24234,94.08,2.18,90405162.49,1681,73212,24.01,47.29,16,0,Hill Palace,Self-Planned,61036,69370,54845,62142,1.16
2024-07-29,2024,7,Wedding Season,MICE,86885,60686,26199,77.32,1.58,181881783.61,82,96291,28.89,213.15,1,0,Fort Kochi,Private Agency,85862,92048,73839,84658,1.0
2022-07-14,2022,7,Wedding Season,MICE,70467,52391,18076,82.45,4.65,119169828.93,163,83552,26.92,449.52,34,1,Mattancherry Palace,Travel Group,73258,71561,70119,71351,1.08
2023-01-17,2023,1,No Major Event,None,114146,86303,27843,57.16,1.62,315040001.45,112,127556,28.72,64.74,9,0,Chinese Fishing Nets,Government Package,110493,123731,95581,110987,1.14
2022-08-18,2022,8,No Major Event,None,65700,47161,18539,52.65,1.71,156858449.61,173,82849,26.9,332.41,32,1,Mattancherry Palace,Private Agency,68692,65290,58751,64608,1.04
2022-10-05,2022,10,Cruise Season,Cruise Tourism,71199,44624,26575,72.63,5.45,172406382.72,2000,84746,32.26,515.91,49,1,Lulu Mall,Government Package,69398,66556,83637,72697,0.81
2023-06-04,2023,6,Peak Season,Tourism,68012,52296,15716,61.73,3.65,83949412.03,2246,82355,28.37,331.22,37,1,Lulu Mall,Private Agency,69506,77862,74072,72363,1.12
2023-02-26,2023,2,Conference,MICE,64906,51290,13616,67.28,3.61,109209388.36,41,78971,26.6,171.21,29,0,Lulu Mall,Self-Planned,65658,57893,59670,62031,1.17
2024-11-23,2024,11,No Major Event,None,66112,41042,25070,69.53,5.28,89418660.59,116,71827,26.87,254.31,27,0,Bolgatty Palace,Travel Group,63415,74663,67675,67966,1.11
2023-02-11,2023,2,No Major Event,None,107596,76490,31106,81.66,5.36,275321875.44,34,116547,24.09,336.94,44,1,Chottanikkara Temple,Private Agency,111510,113768,92260,106283,0.84
2023-05-05,2023,5,No Major Event,None,87206,52908,34298,89.61,3.07,196045540.84,98,105777,26.89,41.74,39,0,Chottanikkara Temple,Travel Group,84894,96612,93296,90502,0.85
2023-07-15,2023,7,Monsoon Dip,Low Season,90108,69121,20987,76.07,4.51,264194834.71,20,110010,24.95,431.9,44,1,Marine Drive,Self-Planned,94452,94537,72868,87991,1.05
2023-09-11,2023,9,Peak Season,Tourism,100711,66370,34341,83.6,4.07,228567720.24,2890,105150,32.09,458.94,49,1,Hill Palace,Self-Planned,95738,94149,82884,93370,1.19
2023-03-05,2023,3,Peak Season,Tourism,98224,70100,28124,80.01,3.61,216079445.82,60,104472,24.41,206.35,23,0,Chinese Fishing Nets,Travel Group,98330,89288,87381,93305,1.02
2023-02-04,2023,2,Peak Season,Tourism,120857,78183,42674,86.43,3.12,343816593.97,1418,130980,29.73,54.17,31,0,Lulu Mall,Government Package,125749,119697,133828,125032,1.06
2022-01-01,2022,1,No Major Event,None,122956,95726,27230,87.42,5.42,194961986.82,77,142106,25.32,117.87,10,0,Chinese Fishing Nets,Self-Planned,118465,114505,131120,121761,0.86
2023-06-17,2023,6,Onam Festival,Festival,116541,87629,28912,81.5,2.6,153687044.64,81,121026,29.12,400.37,40,1,Mattancherry Palace,Government Package,121362,107281,108196,113345,1.17
2022-03-25,2022,3,Biennale,Arts & Cultural,116587,85715,30872,87.74,1.78,231067887.87,1336,133091,32.38,479.34,7,1,Chinese Fishing Nets,Travel Group,116722,109729,101075,111028,1.12
2023-07-13,2023,7,Conference,MICE,91119,65414,25705,55.84,3.14,138818060.79,155,95059,30.32,593.45,34,1,Marine Drive,Private Agency,88037,83912,107942,92752,1.03
2024-09-15,2024,9,No Major Event,None,80756,58736,22020,92.48,5.2,146761801.39,47,84762,24.95,145.38,49,0,Hill Palace,Self-Planned,79890,87843,77179,81417,1.17
2023-03-17,2023,3,No Major Event,None,110548,82538,28010,83.25,1.7,190553642.96,134,119799,31.04,98.0,29,0,Chottanikkara Temple,Private Agency,111431,108480,102348,108201,1.05
2024-08-28,2024,8,Biennale,Arts & Cultural,85687,56003,29684,79.65,5.5,159445887.5,1879,96449,27.0,79.97,28,0,Mattancherry Palace,Government Package,81872,76425,70645,78657,0.85
2023-10-19,2023,10,No Major Event,None,100495,79156,21339,83.0,4.81,294129146.02,87,105265,32.85,320.22,36,1,Chottanikkara Temple,Travel Group,101639,109962,89372,100367,1.03
2024-04-13,2024,4,Conference,MICE,99850,61999,37851,60.8,2.22,174901886.39,108,110425,30.96,349.19,8,1,Chottanikkara Temple,Self-Planned,103662,100860,104474,102211,0.83
2023-01-24,2023,1,Onam Festival,Festival,89690,68963,20727,71.89,3.87,258128142.96,32,93642,30.21,179.19,33,0,Chottanikkara Temple,Government Package,91499,81837,103649,91668,0.94
2024-08-28,2024,8,Cruise Season,Cruise Tourism,111534,80148,31386,58.61,2.48,214574134.3,916,123757,32.72,193.29,27,0,Fort Kochi,Travel Group,107551,101657,122772,110878,1.12
2022-07-13,2022,7,Conference,MICE,62165,39637,22528,88.1,3.27,149394649.15,54,65351,25.81,196.29,49,0,Fort Kochi,Travel Group,64995,63077,62632,63217,1.1
2022-06-09,2022,6,Cruise Season,Cruise Tourism,123928,92209,31719,58.88,2.3,219961490.33,1864,129911,30.8,200.78,48,0,Lulu Mall,Private Agency,128147,116088,110872,119758,1.08
2024-10-10,2024,10,Monsoon Dip,Low Season,54626,34491,20135,70.65,4.65,97985578.81,182,72263,32.1,264.32,9,0,Chinese Fishing Nets,Government Package,52321,49796,34884,47906,1.16
2022-04-02,2022,4,Peak Season,Tourism,73462,58698,14764,89.72,1.65,123987202.0,1736,84308,30.55,555.31,5,1,Bolgatty Palace,Government Package,75761,82264,91579,80766,0.81
2022-08-25,2022,8,Onam Festival,Festival,122398,87083,35315,88.74,2.57,223968990.41,144,129890,28.29,244.76,7,0,Mattancherry Palace,Government Package,125294,125705,130705,126025,1.1
2022-04-21,2022,4,Onam Festival,Festival,88701,56855,31846,82.69,4.61,232707557.11,59,107101,30.68,92.09,32,0,Bolgatty Palace,Government Package,92543,88371,95433,91262,0.86
2024-05-04,2024,5,Cruise Season,Cruise Tourism,88059,57293,30766,70.38,2.32,180565114.11,2207,103735,30.82,470.77,23,1,Bolgatty Palace,Self-Planned,85528,78328,74427,81585,1.0
2022-03-26,2022,3,Monsoon Dip,Low Season,93388,60088,33300,57.61,2.45,179140332.77,85,97450,24.19,192.06,19,0,Chinese Fishing Nets,Self-Planned,90265,96330,107767,96937,0.97
2023-06-19,2023,6,Wedding Season,MICE,111723,88707,23016,79.15,4.21,221986811.11,58,115312,29.19,210.05,36,0,Chinese Fishing Nets,Self-Planned,108243,112036,123174,113794,1.0
2022-07-19,2022,7,Biennale,Arts & Cultural,65440,48030,17410,76.87,2.96,142883968.36,1380,84878,26.42,506.57,10,1,Hill Palace,Government Package,68063,74369,61270,67285,1.02
2023-08-14,2023,8,Conference,MICE,86389,59088,27301,73.85,2.29,145397997.99,193,103537,24.71,253.27,18,0,Lulu Mall,Private Agency,89686,79082,71769,81731,0.81
2023-06-08,2023,6,Peak Season,Tourism,80737,54355,26382,86.29,4.29,191594091.44,1444,85587,27.72,421.18,38,1,Lulu Mall,Private Agency,79335,73140,94492,81926,0.97
2022-05-12,2022,5,Wedding Season,MICE,88410,56545,31865,73.33,3.38,233728270.96,23,92561,27.75,408.25,45,1,Bolgatty Palace,Travel Group,90885,88590,96757,91160,1.01
2022-05-04,2022,5,Monsoon Dip,Low Season,90626,65142,25484,54.46,2.3,234498319.22,160,108354,26.76,559.27,9,1,Fort Kochi,Self-Planned,94577,93188,110245,97159,0.95
2023-10-15,2023,10,No Major Event,None,99360,76584,22776,73.39,1.91,134230039.34,47,110747,31.36,579.74,4,1,Lulu Mall,Travel Group,97628,102564,92274,97956,1.03
2022-12-24,2022,12,No Major Event,None,124727,91104,33623,82.75,2.67,320298334.28,148,142389,26.62,460.77,38,1,Lulu Mall,Private Agency,122519,115452,137386,125021,0.82
2023-11-23,2023,11,No Major Event,None,66539,50901,15638,85.51,3.83,107648068.14,89,85629,31.94,526.76,3,1,Mattancherry Palace,Government Package,63198,69887,55761,63846,1.04
2023-05-09,2023,5,No Major Event,None,128019,84372,43647,55.02,5.38,261156220.72,47,133343,29.94,77.63,21,0,Marine Drive,Private Agency,123827,128082,121868,125449,1.16
2024-04-01,2024,4,Biennale,Arts & Cultural,111205,74163,37042,77.55,4.12,251995245.37,534,122411,31.68,304.38,43,1,Hill Palace,Government Package,108600,115642,113803,112312,1.04
2022-12-20,2022,12,Wedding Season,MICE,123265,89327,33938,69.92,4.62,206136445.77,35,138156,25.41,25.5,4,0,Mattancherry Palace,Travel Group,127171,122495,130354,125821,1.19
2022-06-17,2022,6,Onam Festival,Festival,77418,60632,16786,78.72,3.71,141879276.0,192,92578,30.74,572.67,30,1,Fort Kochi,Travel Group,73489,84185,72149,76810,1.05
2023-11-03,2023,11,Biennale,Arts & Cultural,76527,52680,23847,68.8,5.41,123326274.0,919,95840,30.64,543.39,34,1,Lulu Mall,Self-Planned,78361,80473,67989,75837,1.1
2022-11-25,2022,11,Onam Festival,Festival,81302,63279,18023,73.28,2.56,234258061.68,198,87534,25.4,141.83,15,0,Fort Kochi,Private Agency,79503,76057,83314,80044,1.17
2023-03-07,2023,3,Monsoon Dip,Low Season,123302,76943,46359,73.87,2.86,309510416.36,130,133703,25.0,40.07,35,0,Chottanikkara Temple,Government Package,127824,132291,135458,129718,1.12
2022-06-16,2022,6,Conference,MICE,128832,93601,35231,94.53,1.55,372383461.61,85,141739,26.55,562.51,37,1,Chinese Fishing Nets,Private Agency,131097,125873,136597,130599,1.02
2024-01-22,2024,1,Wedding Season,MICE,54012,34271,19741,82.51,3.22,150529201.18,107,70580,24.68,31.53,16,0,Chottanikkara Temple,Self-Planned,56169,60809,36740,51932,0.91
2024-07-06,2024,7,Wedding Season,MICE,57361,44290,13071,57.42,2.28,144708238.3,99,66698,25.74,208.19,47,0,Chottanikkara Temple,Private Agency,54325,65803,59658,59286,1.02
2024-12-01,2024,12,Biennale,Arts & Cultural,127603,101866,25737,76.84,1.78,244076318.63,193,133513,27.99,284.64,4,0,Cherai Beach,Government Package,131290,136209,129201,131075,0.82
2024-03-13,2024,3,Biennale,Arts & Cultural,81810,56380,25430,62.63,5.09,105745539.5,2023,90065,24.48,153.95,14,0,Bolgatty Palace,Private Agency,85827,83006,89348,84997,0.84
2022-03-23,2022,3,No Major Event,None,117699,75719,41980,56.27,2.77,147579020.73,164,137375,28.67,415.53,29,1,Chottanikkara Temple,Private Agency,115406,119703,121469,118569,1.17
2023-06-25,2023,6,Conference,MICE,64790,40760,24030,87.21,5.03,81730183.02,160,74591,31.33,341.78,4,1,Fort Kochi,Travel Group,63002,65228,76586,67401,0.96
2022-11-21,2022,11,Peak Season,Tourism,60710,43447,17263,64.59,3.0,173179936.43,1331,79567,32.88,135.67,47,0,Chinese Fishing Nets,Government Package,58517,51090,73298,60903,1.0
2024-09-28,2024,9,Biennale,Arts & Cultural,56622,39452,17170,90.68,4.42,166812447.37,1358,63310,26.29,316.88,46,1,Lulu Mall,Private Agency,61105,60097,44856,55670,0.8
2023-10-09,2023,10,Wedding Season,MICE,126807,97562,29245,87.77,4.32,363081208.68,166,135002,24.86,385.61,17,1,Hill Palace,Private Agency,123057,134670,108420,123238,1.05
2023-02-04,2023,2,Peak Season,Tourism,79792,50980,28812,80.03,3.39,149493551.05,1493,94369,28.48,163.93,3,0,Bolgatty Palace,Self-Planned,79467,87315,91594,84542,0.96
2024-05-17,2024,5,Onam Festival,Festival,60614,39136,21478,88.29,1.58,114898605.48,102,76720,30.27,425.36,49,1,Cherai Beach,Self-Planned,63855,60401,74161,64757,1.01
2023-02-24,2023,2,Peak Season,Tourism,128063,77859,50204,87.49,2.76,201807012.79,906,143823,30.86,283.63,21,0,Bolgatty Palace,Travel Group,123164,130248,118684,125039,1.02
2024-07-07,2024,7,Conference,MICE,58045,37823,20222,60.07,5.45,146823920.18,108,66016,27.08,403.88,34,1,Chinese Fishing Nets,Self-Planned,55609,62686,52409,57187,0.99
2024-01-07,2024,1,Peak Season,Tourism,88564,56327,32237,75.36,2.69,117837045.91,2201,94088,31.25,156.8,2,0,Lulu Mall,Travel Group,86235,84958,108427,92046,0.83
2022-01-24,2022,1,Peak Season,Tourism,84411,54906,29505,63.28,1.75,161922353.49,671,92947,30.66,224.71,32,0,Marine Drive,Travel Group,86950,84380,65220,80240,0.94
2022-03-10,2022,3,Monsoon Dip,Low Season,66853,41322,25531,71.43,3.42,118864963.98,37,73501,32.24,517.33,28,1,Chottanikkara Temple,Private Agency,62821,66587,68505,66191,0.84
2023-11-20,2023,11,Biennale,Arts & Cultural,115289,72729,42560,89.55,5.05,342853407.61,1190,124457,28.9,331.46,14,1,Chinese Fishing Nets,Government Package,118572,108284,106225,112092,0.95
2022-10-12,2022,10,Peak Season,Tourism,105273,64258,41015,60.59,5.08,165193347.68,947,119000,24.9,591.19,9,1,Bolgatty Palace,Private Agency,100798,95531,106626,102057,0.86
2024-04-30,2024,4,Onam Festival,Festival,85851,58135,27716,88.03,4.65,202220659.02,127,92126,25.56,455.46,3,1,Chinese Fishing Nets,Self-Planned,90271,86950,94092,89291,1.13
2024-05-25,2024,5,Wedding Season,MICE,119955,74841,45114,59.45,1.65,285234274.87,63,138134,31.37,283.25,20,0,Bolgatty Palace,Private Agency,122353,110179,136211,122174,1.14
2023-12-02,2023,12,Onam Festival,Festival,64663,51512,13151,69.54,2.44,94156882.93,126,76775,32.99,145.66,2,0,Hill Palace,Self-Planned,59749,56784,74992,64047,1.05
2023-11-16,2023,11,Wedding Season,MICE,81454,61782,19672,67.35,4.71,151199144.99,167,94680,31.26,555.46,22,1,Marine Drive,Travel Group,85487,84994,66923,79714,1.09
2022-12-20,2022,12,Conference,MICE,103489,66724,36765,53.92,4.98,250806622.56,75,108373,26.85,578.84,38,1,Fort Kochi,Government Package,101096,104975,89111,99667,1.05
2022-07-12,2022,7,Monsoon Dip,Low Season,123138,91087,32051,60.2,4.92,327088908.47,118,127669,32.54,185.29,5,0,Cherai Beach,Private Agency,123855,125094,134664,126687,1.1
2024-07-02,2024,7,No Major Event,None,103461,77864,25597,50.08,3.71,224747147.97,88,112873,31.68,450.21,5,1,Bolgatty Palace,Private Agency,101657,108550,119474,108285,1.08
2023-03-29,2023,3,Monsoon Dip,Low Season,69053,53716,15337,50.36,2.75,98918231.16,117,86586,28.87,244.18,49,0,Chinese Fishing Nets,Travel Group,73387,61514,55455,64852,0.85
2023-04-03,2023,4,Wedding Season,MICE,88214,61704,26510,54.75,2.55,148991726.46,44,93970,26.52,409.68,28,1,Hill Palace,Travel Group,88384,78674,74612,82471,0.98
2024-06-23,2024,6,Conference,MICE,54573,34803,19770,64.44,4.22,157622789.41,86,63440,31.28,204.04,33,0,Bolgatty Palace,Private Agency,54706,46583,58370,53558,1.1
2023-12-22,2023,12,Onam Festival,Festival,118860,88549,30311,92.68,5.48,185958814.73,95,129783,26.89,17.07,31,0,Chottanikkara Temple,Private Agency,116144,122304,123216,120131,1.14
2024-12-15,2024,12,Onam Festival,Festival,75351,55377,19974,52.73,2.49,99447423.54,140,91878,25.65,396.31,26,1,Mattancherry Palace,Government Package,73447,85101,62114,74003,0.81
2023-11-15,2023,11,Peak Season,Tourism,64551,51426,13125,91.15,2.61,125751515.85,2789,68242,27.05,504.66,3,1,Chinese Fishing Nets,Private Agency,66306,61385,68370,65153,0.82
2024-07-11,2024,7,Monsoon Dip,Low Season,107345,76236,31109,90.01,4.85,206574834.22,60,118351,30.92,127.62,30,0,Marine Drive,Private Agency,111385,105842,98892,105866,0.93
2024-11-06,2024,11,Onam Festival,Festival,64861,42606,22255,53.31,1.81,120968167.1,102,73134,28.61,472.94,32,1,Mattancherry Palace,Travel Group,67018,74210,71731,69455,0.92
2023-03-28,2023,3,Monsoon Dip,Low Season,93818,60069,33749,69.68,3.09,252406776.47,196,111700,29.4,457.54,49,1,Chottanikkara Temple,Private Agency,92866,90701,100921,94576,1.15
2023-04-12,2023,4,Onam Festival,Festival,123998,80092,43906,50.22,3.83,201054419.53,94,142876,32.8,175.77,47,0,Bolgatty Palace,Government Package,126216,121773,120924,123227,1.18
2022-08-31,2022,8,No Major Event,None,123590,85938,37652,93.73,3.74,269653167.14,100,136952,26.21,144.2,45,0,Fort Kochi,Private Agency,121435,117060,121231,120829,1.19
2023-03-23,2023,3,Peak Season,Tourism,74301,57583,16718,88.37,5.37,200648520.25,1188,79037,27.99,462.66,21,1,Fort Kochi,Government Package,75181,73466,66219,72291,1.04
2023-12-24,2023,12,Conference,MICE,94757,62617,32140,94.32,3.25,279282867.6,83,105310,24.11,46.19,34,0,Mattancherry Palace,Government Package,89993,93387,97002,93784,0.86
2024-02-04,2024,2,Onam Festival,Festival,101888,67733,34155,57.37,2.07,267623524.97,113,116163,29.67,416.02,7,1,Lulu Mall,Government Package,104583,93364,111813,102912,1.07
2022-05-28,2022,5,Monsoon Dip,Low Season,115710,73736,41974,54.23,5.35,341319384.07,61,132811,32.08,301.64,38,1,Chinese Fishing Nets,Self-Planned,120399,107326,111990,113856,1.01
2023-11-10,2023,11,No Major Event,None,89248,70865,18383,64.6,2.14,247573781.78,138,93369,28.54,220.02,34,0,Marine Drive,Private Agency,88420,89820,87049,88634,1.17
2023-09-16,2023,9,No Major Event,None,90906,54889,36017,70.57,2.67,267763217.3,163,101429,27.8,414.34,42,1,Lulu Mall,Travel Group,92644,94492,102354,95099,0.96
2023-10-24,2023,10,Biennale,Arts & Cultural,59125,39346,19779,84.16,3.25,83392083.33,1410,77331,30.98,30.29,39,0,Mattancherry Palace,Travel Group,63574,54458,68702,61464,0.98
2022-02-06,2022,2,Wedding Season,MICE,58269,38761,19508,62.56,3.14,154468884.04,22,76934,30.07,216.2,47,0,Bolgatty Palace,Travel Group,62496,62270,42179,56303,0.94
2022-04-11,2022,4,Onam Festival,Festival,81283,59781,21502,77.35,3.63,222317794.38,26,94365,28.02,58.84,19,0,Hill Palace,Travel Group,79360,88945,73113,80675,0.81
2023-11-02,2023,11,Conference,MICE,92440,60804,31636,80.93,4.91,113424457.84,33,96822,27.23,157.87,13,0,Bolgatty Palace,Travel Group,88945,84271,76878,85633,1.16
2024-04-15,2024,4,Monsoon Dip,Low Season,115663,70802,44861,76.11,3.86,169076147.9,133,123210,29.93,509.52,35,1,Lulu Mall,Government Package,110841,109145,126012,115415,0.95
2024-04-23,2024,4,Biennale,Arts & Cultural,56073,38899,17174,80.38,3.06,78552389.06,931,69785,31.22,90.49,17,0,Cherai Beach,Self-Planned,52934,60125,73799,60732,0.82
2022-07-31,2022,7,Conference,MICE,61344,37422,23922,94.36,3.32,175483635.53,42,72912,31.1,362.06,19,1,Fort Kochi,Private Agency,56769,55061,50106,55820,0.9
2023-03-28,2023,3,Onam Festival,Festival,85099,52311,32788,57.47,2.14,191661382.73,192,104301,27.47,152.21,22,0,Bolgatty Palace,Government Package,84716,88066,89009,86722,1.05
2023-01-13,2023,1,Peak Season,Tourism,125473,88354,37119,70.72,4.4,347659500.15,2406,135721,28.76,512.38,22,1,Marine Drive,Travel Group,129312,127187,125687,126914,1.05
2023-06-07,2023,6,Conference,MICE,119974,86865,33109,74.53,3.68,233631329.28,62,124844,31.09,511.54,28,1,Mattancherry Palace,Travel Group,118990,125803,118205,120743,0.96
2024-07-04,2024,7,Wedding Season,MICE,105232,66249,38983,53.01,3.69,213672072.52,173,124553,30.46,510.61,4,1,Lulu Mall,Private Agency,104765,99408,110759,105041,0.83
2024-04-01,2024,4,Cruise Season,Cruise Tourism,103379,82032,21347,51.41,1.73,205602988.58,336,122779,32.41,113.52,16,0,Hill Palace,Travel Group,105465,101286,122396,108131,1.01
2023-08-02,2023,8,Wedding Season,MICE,101937,81085,20852,67.59,4.51,251522401.83,85,114080,25.61,227.81,3,0,Lulu Mall,Self-Planned,104256,101760,103823,102944,1.1
2023-01-14,2023,1,Peak Season,Tourism,127953,78727,49226,74.74,3.72,164708833.93,2654,144697,32.98,65.67,19,0,Lulu Mall,Self-Planned,126182,123177,140468,129445,1.06
2024-08-21,2024,8,Monsoon Dip,Low Season,118924,89340,29584,67.2,4.32,282622851.95,112,123986,27.85,266.1,5,0,Mattancherry Palace,Private Agency,114318,122880,114674,117699,1.14
2023-02-23,2023,2,Wedding Season,MICE,73382,46662,26720,82.47,4.66,188118099.52,104,87866,27.79,355.52,7,1,Fort Kochi,Travel Group,74004,67234,92176,76699,1.08
2023-04-18,2023,4,Biennale,Arts & Cultural,110813,70761,40052,90.1,5.47,189037328.27,2599,117411,27.53,124.15,44,0,Chottanikkara Temple,Private Agency,115131,115125,97421,109622,1.15
2024-01-26,2024,1,No Major Event,None,62362,40101,22261,61.75,1.62,147542543.01,89,71366,31.31,528.29,20,1,Lulu Mall,Government Package,65017,64169,63276,63706,1.03
2024-12-22,2024,12,Peak Season,Tourism,104573,68708,35865,72.37,3.99,192862158.59,784,116751,27.67,476.53,28,1,Mattancherry Palace,Private Agency,104849,95403,121874,106674,1.2
2024-04-27,2024,4,Monsoon Dip,Low Season,124952,88601,36351,66.84,4.56,253286917.84,138,137274,28.53,367.99,36,1,Chottanikkara Temple,Private Agency,121207,124362,121962,123120,0.89
2023-06-08,2023,6,Peak Season,Tourism,86877,57256,29621,67.03,1.54,248157482.14,1089,96904,31.62,373.4,48,1,Marine Drive,Self-Planned,91416,79085,81878,84814,0.98
2024-09-23,2024,9,Biennale,Arts & Cultural,107669,67894,39775,66.76,4.49,315220843.19,2305,122970,25.1,321.88,48,1,Chottanikkara Temple,Travel Group,103278,101343,101006,103324,1.06
2024-08-01,2024,8,Onam Festival,Festival,79609,48972,30637,85.24,5.11,126285349.13,67,95108,25.17,464.37,36,1,Chinese Fishing Nets,Private Agency,82268,71845,80995,78679,1.01
2023-05-14,2023,5,Cruise Season,Cruise Tourism,129361,80301,49060,57.8,1.54,342056848.89,288,141044,24.44,86.49,48,0,Hill Palace,Self-Planned,128279,138112,142128,134470,1.08
2022-10-06,2022,10,No Major Event,None,100592,78488,22104,52.5,3.41,147711745.53,197,105987,29.31,143.82,22,0,Hill Palace,Private Agency,103916,103684,92477,100167,1.06
2023-03-01,2023,3,Onam Festival,Festival,87728,56419,31309,60.12,4.5,122583198.16,169,91824,32.5,152.66,8,0,Marine Drive,Government Package,84297,87223,76789,84009,0.89
2023-11-12,2023,11,Monsoon Dip,Low Season,106131,80853,25278,94.44,2.59,281488159.25,23,110969,28.56,186.63,17,0,Marine Drive,Government Package,104290,113284,103798,106875,0.84
2022-01-14,2022,1,Conference,MICE,87223,61992,25231,85.69,2.53,201756276.41,170,94701,25.34,6.67,28,0,Marine Drive,Self-Planned,91646,93424,97826,92529,1.04
2023-12-29,2023,12,Cruise Season,Cruise Tourism,124588,74778,49810,57.13,2.58,214733265.04,2739,140886,31.07,190.38,4,0,Chinese Fishing Nets,Travel Group,124787,131661,124304,126335,0.8
2022-05-26,2022,5,Wedding Season,MICE,78942,62957,15985,77.08,4.73,113264434.84,156,96814,30.09,265.17,49,0,Cherai Beach,Private Agency,77834,76279,89618,80668,0.98
2023-02-02,2023,2,Cruise Season,Cruise Tourism,77251,56254,20997,86.15,3.62,130937890.07,358,85674,27.38,79.44,7,0,Bolgatty Palace,Private Agency,77317,74541,71060,75042,0.96
2022-03-06,2022,3,Onam Festival,Festival,107103,67232,39871,81.67,1.85,188667737.46,34,114543,25.95,85.35,42,0,Bolgatty Palace,Travel Group,105262,112410,108678,108363,1.15
2024-07-05,2024,7,Peak Season,Tourism,51390,35305,16085,91.69,2.6,89467331.67,156,65181,24.67,203.08,20,0,Bolgatty Palace,Government Package,49423,43300,46039,47538,0.95
